frame,time_s,state,motion_energy,crowding_pct,mortality_alerts_active,mortality_alerts_cumulative,kinetic_energy_smooth
141,5.899,CALM,8.6167,26.28,0,0,7.845168888888889
142,5.94,CROWDING,8.2926,26.51,0,0,7.9287688888888885
143,5.982,CROWDING,7.9995,26.69,0,0,8.005328888888888
144,6.024,CROWDING,8.7047,26.9,0,0,8.063904444444445
145,6.066,CROWDING,7.7875,27.01,0,0,8.107922222222221
146,6.108,CROWDING,7.5916,26.93,0,0,8.152702222222223
147,6.15,CROWDING,7.9611,26.96,0,0,8.180564444444444
148,6.191,CROWDING,8.3608,27.12,0,0,8.19778
149,6.233,CROWDING,8.4518,27.06,0,0,8.210222222222221
150,6.275,CROWDING,8.2966,26.98,0,0,8.248955555555556
151,6.317,CROWDING,8.1418,26.92,0,0,8.282073333333333
152,6.359,CROWDING,8.8942,26.92,0,0,8.327631111111112
153,6.401,CROWDING,8.1013,27.08,0,0,8.366311111111113
154,6.442,CROWDING,8.3878,27.2,0,0,8.410828888888888
155,6.484,CROWDING,8.8365,27.35,0,0,8.438242222222222
156,6.526,CROWDING,9.0237,27.56,0,0,8.457626666666666
157,6.568,CROWDING,9.1427,27.68,0,0,8.474971111111111
158,6.61,CROWDING,8.7428,27.85,0,0,8.505404444444444
159,6.652,CROWDING,8.1711,28.01,0,0,8.519837777777777
160,6.693,CROWDING,8.6723,28.06,0,0,8.53773111111111
161,6.735,CROWDING,8.2239,28.08,0,0,8.528982222222224
162,6.777,CROWDING,8.2449,28.08,0,0,8.52774
163,6.819,CROWDING,8.7409,27.99,0,0,8.513322222222222
164,6.861,CROWDING,10.0496,28.17,0,0,8.495622222222222
165,6.903,CROWDING,10.3604,28.17,0,0,8.480075555555556
166,6.944,CROWDING,9.5747,28.36,0,0,8.475617777777778
167,6.986,CROWDING,8.9626,28.49,0,0,8.447173333333334
168,7.028,CROWDING,9.147,28.46,0,0,8.42858
169,7.07,CROWDING,8.4648,28.43,0,0,8.402824444444445
170,7.112,CROWDING,8.3105,28.37,0,0,9.34562888888889
171,7.154,CROWDING,7.847,28.12,0,0,9.319633333333332
172,7.195,CROWDING,8.4852,27.76,0,0,9.293302222222222
173,7.237,CROWDING,8.628,27.5,0,0,9.268246666666666
174,7.279,CROWDING,8.6662,27.32,0,0,9.257557777777778
175,7.321,CROWDING,8.5243,27.19,0,0,9.237782222222222
176,7.363,CROWDING,8.9285,27.01,0,0,9.215160000000001
177,7.405,CROWDING,8.3581,26.88,0,0,9.179875555555556
178,7.446,CROWDING,8.1026,26.72,0,0,9.151275555555555
179,7.488,CROWDING,8.1526,26.59,0,0,9.127282222222222
180,7.53,CROWDING,8.6018,26.36,0,0,9.10787111111111
181,7.572,CALM,8.3421,26.2,0,0,9.086248888888889
182,7.614,CALM,8.2616,26.1,0,0,9.081117777777779
183,7.656,CALM,7.7867,25.91,0,0,9.064917777777778
184,7.697,CALM,8.155,25.61,0,0,9.038095555555556
185,7.739,CALM,8.0034,25.25,0,0,9.01790888888889
186,7.781,CALM,7.8202,24.88,0,0,9.003724444444444
187,7.823,CALM,7.593,24.68,0,0,8.954566666666667
188,7.865,CALM,7.7989,24.4,0,0,8.902026666666668
189,7.907,CALM,7.4247,24.16,0,0,8.86170888888889
190,7.948,CALM,6.9508,23.98,0,0,8.84935777777778
191,7.99,CALM,6.4326,24.03,0,0,8.827997777777778
192,8.032,STRESS,50.3873,23.61,0,0,8.8059
193,8.074,STRESS,7.191,23.48,0,0,8.78208888888889
194,8.116,STRESS,7.2669,23.62,0,0,8.785975555555556
195,8.158,STRESS,7.1691,23.62,0,0,8.770544444444445
196,8.199,STRESS,7.6608,23.42,0,0,8.753524444444444
197,8.241,STRESS,8.0043,23.19,0,0,8.736633333333334
198,8.283,STRESS,7.0833,23.0,0,0,8.746244444444443
199,8.325,STRESS,6.8,22.86,0,0,8.744795555555555
200,8.367,STRESS,7.5495,22.69,0,0,8.750135555555556
201,8.409,STRESS,7.944,22.5,0,0,8.761231111111112
202,8.45,STRESS,8.2692,22.61,0,0,8.774548888888889
203,8.492,STRESS,7.7698,22.46,0,0,8.766395555555555
204,8.534,STRESS,7.9402,22.45,0,0,8.754900000000001
205,8.576,STRESS,7.9433,22.36,0,0,8.73851111111111
206,8.618,STRESS,7.0169,22.38,0,0,8.756735555555554
207,8.66,CALM,7.3365,22.33,0,0,8.778731111111112
208,8.701,CALM,8.1026,22.33,0,0,8.803042222222222
209,8.743,CALM,7.8375,22.22,0,0,8.825037777777778
210,8.785,CALM,7.9961,22.14,0,0,8.86908
211,8.827,CALM,7.7604,21.86,0,0,8.898822222222222
212,8.869,CALM,8.4068,21.68,0,0,8.928233333333335
213,8.911,CALM,8.1858,21.81,0,0,8.958862222222223
214,8.952,CALM,7.4704,21.88,0,0,9.018491111111112
215,8.994,CALM,7.239,21.91,0,0,8.108253333333334
216,9.036,CALM,8.0219,21.88,0,0,8.15074
217,9.078,CALM,7.7908,21.95,0,0,8.18890888888889
218,9.12,CALM,7.8621,21.93,0,0,8.24262888888889
219,9.162,CALM,7.9061,21.9,0,0,8.276477777777776
220,9.203,CALM,8.9568,21.87,0,0,8.292575555555555
221,9.245,CALM,8.8633,21.89,0,0,8.319097777777777
222,9.287,CALM,8.5984,21.95,0,0,8.360453333333334
223,9.329,CALM,8.6019,21.97,0,0,8.386964444444445
224,9.371,CALM,8.7519,21.89,0,0,8.398837777777779
225,9.413,CALM,8.2349,22.07,0,0,8.400002222222223
226,9.454,CALM,7.8248,22.0,0,0,8.419048888888888
227,9.496,CALM,7.5241,21.9,0,0,8.42535111111111
228,9.538,CALM,8.6068,21.81,0,0,8.427491111111113
229,9.58,CALM,9.1448,21.97,0,0,8.45386
230,9.622,CALM,9.0974,21.86,0,0,8.485284444444444
231,9.664,CALM,8.81,21.73,0,0,8.498191111111112
232,9.705,CALM,9.5749,21.52,0,0,8.50678
233,9.747,CALM,9.1373,21.36,0,0,8.49990888888889
234,9.789,CALM,8.7482,21.21,0,0,8.508773333333334
235,9.831,CALM,8.3291,21.16,0,0,8.49129111111111
236,9.873,CALM,9.1159,20.9,0,0,8.480202222222223
237,9.915,CALM,9.4266,21.0,0,0,8.501213333333334
238,9.956,CALM,9.1029,20.72,0,0,8.553466666666667
239,9.998,CALM,8.9845,20.64,0,0,8.611582222222221
240,10.04,CALM,9.5865,20.58,0,0,8.66684888888889
241,10.082,CALM,9.184,20.47,0,0,8.706628888888888
242,10.124,CALM,8.7287,20.57,0,0,8.742842222222222
243,10.166,CALM,8.2768,20.64,0,0,8.73958888888889
244,10.207,CALM,8.661,20.67,0,0,8.74882888888889
245,10.249,CALM,8.7425,20.83,0,0,8.77372
246,10.291,CALM,8.4783,21.03,0,0,8.808333333333334
247,10.333,CALM,8.3216,20.94,0,0,8.838877777777777
248,10.375,CALM,8.6269,20.99,0,0,8.860993333333333
249,10.417,CALM,8.2238,21.12,0,0,8.885604444444445
250,10.458,CALM,8.0396,21.37,0,0,8.921133333333332
251,10.5,CALM,8.2035,21.56,0,0,8.913284444444445
252,10.542,CALM,8.7506,21.74,0,0,8.89223111111111
253,10.584,CALM,8.6834,21.85,0,0,8.87969111111111
254,10.626,CALM,8.224,21.76,0,0,8.901824444444443
255,10.668,CALM,7.6869,21.82,0,0,8.918717777777777
256,10.709,CALM,8.1593,21.91,0,0,8.939566666666668
257,10.751,CALM,7.6201,21.89,0,0,8.959584444444445
258,10.793,CALM,7.6868,21.8,0,0,8.994775555555556
259,10.835,CALM,8.4159,21.71,0,0,8.998686666666666
260,10.877,CALM,9.5904,21.66,0,0,9.008880000000001
261,10.919,CALM,10.6371,21.65,0,0,9.007204444444445
262,10.96,CALM,10.2778,21.55,0,0,9.011708888888888
263,11.002,CALM,9.6522,21.7,0,0,9.011317777777778
264,11.044,CALM,9.5357,21.68,0,0,9.02125111111111
265,11.086,CALM,8.8104,21.59,0,0,9.024133333333333
266,11.128,CALM,9.2791,21.76,0,0,9.031762222222223
267,11.17,CALM,9.7185,21.59,0,0,9.027491111111111
268,11.211,CALM,10.1595,21.51,1,1,9.022817777777778
269,11.253,CALM,10.1264,21.61,1,1,9.024177777777776
270,11.295,CALM,9.2301,21.48,1,1,9.044511111111111
271,11.337,CALM,8.9323,21.46,1,1,9.061373333333334
272,11.379,CALM,9.1229,21.47,1,1,9.075713333333333
273,11.421,CALM,8.2536,21.65,1,1,9.078473333333333
274,11.462,CALM,8.1974,21.63,1,1,9.070435555555555
275,11.504,CALM,8.5331,21.76,1,1,9.032682222222222
276,11.546,CALM,9.806,21.91,1,1,8.991362222222222
277,11.588,CALM,10.3351,21.99,1,1,8.971206666666667
278,11.63,CALM,10.0755,22.07,1,1,8.984631111111112
279,11.672,CALM,9.649,22.19,1,1,8.981144444444444
280,11.713,CALM,9.9127,22.27,1,1,8.988577777777778
281,11.755,CALM,9.2919,22.38,1,1,8.994346666666667
282,11.797,CALM,9.8853,22.42,1,1,9.0003
283,11.839,CALM,9.0275,22.62,1,1,8.974266666666667
284,11.881,CALM,9.1872,22.45,1,1,8.93382888888889
285,11.923,CALM,9.5689,22.34,1,1,8.891971111111111
286,11.964,STRESS,9.631,22.48,1,1,8.857562222222223
287,12.006,STRESS,8.8584,22.48,1,1,8.810593333333333
288,12.048,STRESS,8.6201,22.59,1,1,8.76308
289,12.09,STRESS,8.4688,22.7,1,1,8.696602222222223
290,12.132,STRESS,8.5322,22.75,1,1,8.634306666666665
291,12.174,STRESS,8.5395,22.72,1,1,8.562735555555555
292,12.215,STRESS,9.2366,22.77,1,1,8.492855555555556
293,12.257,STRESS,9.3857,23.0,1,1,8.446228888888887
294,12.299,STRESS,8.8691,23.1,1,1,8.407977777777777
295,12.341,STRESS,8.1638,22.98,1,1,8.372708888888889
296,12.383,STRESS,7.8418,22.84,1,1,8.351231111111112
297,12.425,STRESS,7.0517,22.8,1,1,8.318893333333333
298,12.466,CALM,6.824,22.97,1,1,8.287884444444444
299,12.508,CALM,7.317,23.22,1,1,8.216997777777777
300,12.55,CALM,8.291,23.25,1,1,8.138077777777777
301,12.592,CALM,8.0024,23.27,1,1,8.068071111111111
302,12.634,CALM,7.9546,23.33,1,1,8.01197111111111
303,12.676,CALM,7.9464,23.29,1,1,7.952362222222222
304,12.717,CALM,8.6838,23.25,1,1,7.909700000000001
305,12.759,CALM,8.4189,23.25,1,1,7.850744444444444
306,12.801,CALM,8.8174,23.21,1,1,7.82108
307,12.843,CALM,8.3942,23.31,1,1,7.7826177777777765
308,12.885,CALM,8.1038,23.27,1,1,7.751762222222222
309,12.927,CALM,7.4221,23.49,1,1,7.720204444444445
310,12.968,CALM,6.6723,23.72,1,1,7.715622222222223
311,13.01,CALM,6.2876,23.47,1,1,7.7155466666666666
312,13.052,CALM,6.9152,23.56,1,1,7.711631111111111
313,13.094,CALM,6.9388,23.59,1,1,7.699793333333333
314,13.136,CALM,6.9818,23.62,1,1,7.703464444444445
315,13.178,CALM,7.1319,23.59,1,1,7.6712622222222215
316,13.219,CALM,7.211,23.62,1,1,7.631393333333334
317,13.261,CALM,7.5358,23.73,1,1,7.611215555555556
318,13.303,CALM,7.2871,23.82,1,1,7.615593333333332
319,13.345,CALM,6.7422,24.05,1,2,7.629148888888889
320,13.387,CALM,7.1377,24.3,1,2,7.656813333333333
321,13.429,CALM,6.6161,24.32,1,2,7.686097777777778
322,13.47,CALM,6.7837,24.41,1,2,7.721146666666666
323,13.512,CALM,6.9252,24.53,1,2,7.716931111111112
324,13.554,CALM,7.1245,24.67,1,2,7.725495555555555
325,13.596,CALM,7.2303,24.77,1,2,7.745093333333333
326,13.638,CALM,7.3721,24.78,1,2,7.769033333333333
327,13.68,CALM,7.2323,24.94,1,2,7.779231111111112
328,13.721,CALM,7.6926,25.1,1,2,7.786428888888889
329,13.763,CALM,7.4564,25.27,1,2,7.7720666666666665
330,13.805,CALM,8.1804,25.51,1,2,7.778246666666668
331,13.847,CALM,8.2109,25.7,1,2,7.780915555555555
332,13.889,CALM,8.6522,26.02,1,2,7.7992
333,13.931,CALM,8.6167,26.26,1,2,7.845168888888889
334,13.972,CROWDING,8.2926,26.48,1,2,7.9287688888888885
335,14.014,CROWDING,7.9995,26.66,1,2,8.005328888888888
336,14.056,CROWDING,8.7047,26.87,1,2,8.063904444444445
337,14.098,CROWDING,7.7875,27.01,1,2,8.107922222222221
338,14.14,CROWDING,7.5916,26.93,1,2,8.152702222222223
339,14.182,CROWDING,7.9611,26.96,1,2,8.180564444444444
340,14.223,CROWDING,8.3608,27.12,1,2,8.19778
341,14.265,CROWDING,8.4518,27.06,1,2,8.210222222222221
342,14.307,CROWDING,8.2966,26.98,1,2,8.248955555555556
343,14.349,CROWDING,8.1418,26.92,1,2,8.282073333333333
344,14.391,CROWDING,8.8942,26.92,1,2,8.327631111111112
345,14.433,CROWDING,8.1013,27.08,1,2,8.366311111111111
346,14.474,CROWDING,8.3878,27.2,1,2,8.410828888888888
347,14.516,CROWDING,8.8365,27.35,1,2,8.438242222222224
348,14.558,CROWDING,9.0237,27.56,1,2,8.457626666666668
349,14.6,CROWDING,9.1427,27.68,1,2,8.474971111111111
350,14.642,CROWDING,8.7428,27.85,1,2,8.505404444444444
351,14.684,CROWDING,8.1711,28.01,1,2,8.519837777777777
352,14.725,CROWDING,8.6723,28.06,1,2,8.53773111111111
353,14.767,CROWDING,8.2239,28.08,1,2,8.528982222222222
354,14.809,CROWDING,8.2449,28.08,1,2,8.527740000000001
